[225573] ['(2-2i)', '(4-4i)', '(9-3i)', '(9+9i)'] -> (((1-6i) - (1-2i)) * (4 - (4-6i)))
[225575] ['(2-2i)', '(4-4i)', '(9-2i)', '(9+8i)'] -> (((2-2i) + (4-4i)) + ((9-2i) + (9+8i)))
[225578] ['(2-2i)', '(4-4i)', '(9-i)', '(9+7i)'] -> (((3-2i) * (6+3i)) - ((6+5i) - (6+8i)))
[225580] ['(2-2i)', '(4-4i)', '9', '(9+6i)'] -> ((-4i + 4) * ((9-i) - (6-4i)))
[225583] ['(2-2i)', '(4-4i)', '(9+i)', '(9+5i)'] -> (((2-2i) + (4-4i)) + ((9+i) + (9+5i)))
[225584] ['(2-2i)', '(4-4i)', '(9+2i)', '(9+4i)'] -> (((2-2i) + (4-4i)) + ((9+2i) + (9+4i)))
[225587] ['(2-2i)', '(4-4i)', '(9+3i)', '(9+3i)'] -> (((5-2i) * ((9+3i) - (4+2i))) - (3-5i))
[225599] ['(2-2i)', '(4-3i)', '(4-3i)', '(5+6i)'] -> ((2-2i) * ((5+6i) + ((4-3i) / (4-3i))))
[225610] ['(2-2i)', '(4-3i)', '(4-3i)', '(7+6i)'] -> ((2-2i) * ((7+6i) - ((4-3i) / (4-3i))))
[225634] ['(2-2i)', '(4-3i)', '(4-2i)', '(6+5i)'] -> ((2-2i) * ((6+5i) - ((4-3i) - (4-2i))))
[225635] ['(2-2i)', '(4-3i)', '(4-2i)', '(6+7i)'] -> ((2-2i) * ((6+7i) + ((4-3i) - (4-2i))))
[225646] ['(2-2i)', '(4-3i)', '(4-2i)', '(8+3i)'] -> (((4-3i) + (8+3i)) * ((4-2i) - (2-2i)))
[225665] ['(2-2i)', '(4-3i)', '(4-i)', '(6+2i)'] -> (((4-3i) * (6+2i)) - ((2-2i) * (4-i)))
[225667] ['(2-2i)', '(4-3i)', '(4-i)', '(6+4i)'] -> ((2-2i) * ((6+4i) - ((4-3i) - (4-i))))
[225669] ['(2-2i)', '(4-3i)', '(4-i)', '(6+8i)'] -> ((2-2i) * ((6+8i) + ((4-3i) - (4-i))))
[225680] ['(2-2i)', '(4-3i)', '(4-i)', '(9+7i)'] -> ((4 * (8-6i)) - (-4i * (6+2i)))
[225682] ['(2-2i)', '(4-3i)', '4', '(4+i)'] -> (4 * ((4+i) - ((2-2i) - (4-3i))))
[225694] ['(2-2i)', '(4-3i)', '4', '(6+3i)'] -> ((2-2i) * ((6+3i) - ((4-3i) - 4)))
[225695] ['(2-2i)', '(4-3i)', '4', '(6+9i)'] -> ((2-2i) * ((6+9i) + ((4-3i) - 4)))
[225701] ['(2-2i)', '(4-3i)', '4', '(8-9i)'] -> ((((4-3i) + (8-9i)) * 4) / (2-2i))
[225704] ['(2-2i)', '(4-3i)', '4', '(8-i)'] -> (4 * ((8-i) + ((2-2i) - (4-3i))))
[225715] ['(2-2i)', '(4-3i)', '(4+i)', '(5+7i)'] -> (((2-2i) * (5+7i)) + ((4-3i) - (4+i)))
[225717] ['(2-2i)', '(4-3i)', '(4+i)', '(6-6i)'] -> ((6-6i) * ((4+i) + ((2-2i) - (4-3i))))
[225725] ['(2-2i)', '(4-3i)', '(4+i)', '(7+5i)'] -> (((2-2i) * (7+5i)) - ((4-3i) - (4+i)))
[225726] ['(2-2i)', '(4-3i)', '(4+i)', '(7+6i)'] -> (((4-3i) * (4+i)) - ((2-2i) - (7+6i)))
[225738] ['(2-2i)', '(4-3i)', '(4+2i)', '(4+2i)'] -> (((2-9i) - (6-3i)) + ((3+i) * (9-i)))
[225750] ['(2-2i)', '(4-3i)', '(4+2i)', '(6+i)'] -> (((-4i + (8-4i)) * (6+6i)) / 4)
[225763] ['(2-2i)', '(4-3i)', '(4+2i)', '(8-3i)'] -> (6 * ((9-3i) - (-i * (3+5i))))
[225765] ['(2-2i)', '(4-3i)', '(4+2i)', '(8+4i)'] -> ((8+4i) * ((2-2i) + ((4+2i) / (4-3i))))
[225768] ['(2-2i)', '(4-3i)', '(4+2i)', '(8+7i)'] -> ((2-4i) - ((1-3i) * (1 - (2+7i))))
[225769] ['(2-2i)', '(4-3i)', '(4+2i)', '(9-6i)'] -> (((4+2i) * ((9-6i) - (4-3i))) - (2-2i))
[225770] ['(2-2i)', '(4-3i)', '(4+2i)', '(9-3i)'] -> (((2-2i) / (4-3i)) * ((4+2i) * (9-3i)))
[225776] ['(2-2i)', '(4-3i)', '(4+3i)', '(4+4i)'] -> (((2-2i) * (4+4i)) + ((4-3i) + (4+3i)))
[225779] ['(2-2i)', '(4-3i)', '(4+3i)', '(5-2i)'] -> (((4-3i) + (4+3i)) * ((5-2i) - (2-2i)))
[225782] ['(2-2i)', '(4-3i)', '(4+3i)', '(6-6i)'] -> ((((4-3i) + (4+3i)) * (6-6i)) / (2-2i))
[225784] ['(2-2i)', '(4-3i)', '(4+3i)', '6'] -> ((2-2i) * (6 - ((4-3i) - (4+3i))))
[225785] ['(2-2i)', '(4-3i)', '(4+3i)', '(6+5i)'] -> (((2-2i) * (4+3i)) + ((4-3i) + (6+5i)))
[225798] ['(2-2i)', '(4-3i)', '(4+4i)', '(4+9i)'] -> ((((4-3i) - (4+9i)) * (4+4i)) / (2-2i))
[225799] ['(2-2i)', '(4-3i)', '(4+4i)', '(5-4i)'] -> ((4+4i) * ((5-4i) + ((2-2i) - (4-3i))))
[225803] ['(2-2i)', '(4-3i)', '(4+4i)', '(6-i)'] -> ((2-2i) * ((6-i) - ((4-3i) - (4+4i))))
[225817] ['(2-2i)', '(4-3i)', '(4+4i)', '(9-8i)'] -> ((4+4i) * ((9-8i) - ((2-2i) + (4-3i))))
[225821] ['(2-2i)', '(4-3i)', '(4+5i)', '(4+8i)'] -> (((2-2i) * (4+8i)) + ((4-3i) - (4+5i)))
[225826] ['(2-2i)', '(4-3i)', '(4+5i)', '(6-2i)'] -> ((2-2i) * ((6-2i) - ((4-3i) - (4+5i))))
[225830] ['(2-2i)', '(4-3i)', '(4+5i)', '(6+6i)'] -> ((((4-3i) - (4+5i)) * (6+6i)) / (2-2i))
[225838] ['(2-2i)', '(4-3i)', '(4+5i)', '(8+4i)'] -> (((2-2i) * (8+4i)) - ((4-3i) - (4+5i)))
[225842] ['(2-2i)', '(4-3i)', '(4+5i)', '(9-6i)'] -> ((-i - (8-i)) * ((3+5i) - (6+5i)))
[225845] ['(2-2i)', '(4-3i)', '(4+5i)', '(9+6i)'] -> (((2-2i) - (9+6i)) + ((4-3i) * (4+5i)))
[225852] ['(2-2i)', '(4-3i)', '(4+6i)', '(6-3i)'] -> ((2-2i) * ((6-3i) - ((4-3i) - (4+6i))))
[225864] ['(2-2i)', '(4-3i)', '(4+6i)', '(8-7i)'] -> (((2-2i) * (4+6i)) - ((4-3i) - (8-7i)))
[225866] ['(2-2i)', '(4-3i)', '(4+6i)', '(8-6i)'] -> ((2-2i) * ((4+6i) + ((8-6i) / (4-3i))))
[225879] ['(2-2i)', '(4-3i)', '(4+7i)', '(5+3i)'] -> (((2-2i) * (5+3i)) + ((4-3i) + (4+7i)))
[225880] ['(2-2i)', '(4-3i)', '(4+7i)', '(6-9i)'] -> (((2-2i) * (4+7i)) - ((4-3i) - (6-9i)))
[225882] ['(2-2i)', '(4-3i)', '(4+7i)', '(6-4i)'] -> ((2-2i) * ((6-4i) - ((4-3i) - (4+7i))))
[225892] ['(2-2i)', '(4-3i)', '(4+7i)', '(7+9i)'] -> ((8+2i) - ((4+2i) * ((3-5i) - (6-7i))))
[225916] ['(2-2i)', '(4-3i)', '(4+8i)', '8'] -> (8 * ((4-3i) + ((4+8i) / (2-2i))))
[225921] ['(2-2i)', '(4-3i)', '(4+8i)', '(9+6i)'] -> (((2-2i) * ((9+6i) - (4-3i))) - (4+8i))
[225929] ['(2-2i)', '(4-3i)', '(4+9i)', '(6-6i)'] -> ((2-2i) * ((6-6i) - ((4-3i) - (4+9i))))
[225932] ['(2-2i)', '(4-3i)', '(4+9i)', '(6+7i)'] -> ((-7i + (2+7i)) * ((3+3i) + (9-3i)))
[225943] ['(2-2i)', '(4-3i)', '(4+9i)', '(9+3i)'] -> (((2-2i) * (9+3i)) - ((4-3i) - (4+9i)))
[225952] ['(2-2i)', '(4-3i)', '(5-9i)', '7'] -> ((2-2i) * (7 + ((4-3i) - (5-9i))))
[225966] ['(2-2i)', '(4-3i)', '(5-8i)', '(6-2i)'] -> (((4-3i) * (6-2i)) - ((2-2i) * (5-8i)))
[225970] ['(2-2i)', '(4-3i)', '(5-8i)', '(7+i)'] -> ((2-2i) * ((7+i) + ((4-3i) - (5-8i))))
[225987] ['(2-2i)', '(4-3i)', '(5-7i)', '(7+2i)'] -> ((2-2i) * ((7+2i) + ((4-3i) - (5-7i))))
[226003] ['(2-2i)', '(4-3i)', '(5-6i)', '(5+9i)'] -> ((2-2i) * ((5+9i) - ((4-3i) - (5-6i))))
[226010] ['(2-2i)', '(4-3i)', '(5-6i)', '(7+3i)'] -> ((2-2i) * ((7+3i) + ((4-3i) - (5-6i))))
[226022] ['(2-2i)', '(4-3i)', '(5-5i)', '(5+8i)'] -> ((2-2i) * ((5+8i) - ((4-3i) - (5-5i))))
[226029] ['(2-2i)', '(4-3i)', '(5-5i)', '(7+4i)'] -> ((2-2i) * ((7+4i) + ((4-3i) - (5-5i))))
[226041] ['(2-2i)', '(4-3i)', '(5-4i)', '(5+7i)'] -> ((2-2i) * ((5+7i) - ((4-3i) - (5-4i))))
[226049] ['(2-2i)', '(4-3i)', '(5-4i)', '(7+5i)'] -> ((2-2i) * ((7+5i) + ((4-3i) - (5-4i))))
[226065] ['(2-2i)', '(4-3i)', '(5-3i)', '(5+6i)'] -> ((2-2i) * ((5+6i) - ((4-3i) - (5-3i))))
[226073] ['(2-2i)', '(4-3i)', '(5-3i)', '(7+i)'] -> (((4-3i) * ((7+i) - (2-2i))) - (5-3i))
[226075] ['(2-2i)', '(4-3i)', '(5-3i)', '(7+6i)'] -> ((2-2i) * ((7+6i) + ((4-3i) - (5-3i))))
[226079] ['(2-2i)', '(4-3i)', '(5-3i)', '(8-i)'] -> (((5-3i) * ((8-i) - (4-3i))) - (2-2i))
[226088] ['(2-2i)', '(4-3i)', '(5-2i)', '(5+5i)'] -> ((6+6i) * ((9-5i) - ((3-5i) + (4+2i))))
[226096] ['(2-2i)', '(4-3i)', '(5-2i)', '6'] -> (((2-2i) * 6) * ((5-2i) - (4-3i)))
[226111] ['(2-2i)', '(4-3i)', '(5-2i)', '(7+7i)'] -> ((2-2i) * ((7+7i) + ((4-3i) - (5-2i))))
[226120] ['(2-2i)', '(4-3i)', '(5-i)', '(5+4i)'] -> ((2-2i) * ((5+4i) - ((4-3i) - (5-i))))
[226130] ['(2-2i)', '(4-3i)', '(5-i)', '(7+8i)'] -> ((2-2i) * ((7+8i) + ((4-3i) - (5-i))))
[226134] ['(2-2i)', '(4-3i)', '(5-i)', '8'] -> (8 * ((5-i) + ((2-2i) - (4-3i))))
[226141] ['(2-2i)', '(4-3i)', '5', '(5+3i)'] -> ((2-2i) * ((5+3i) - ((4-3i) - 5)))
[226143] ['(2-2i)', '(4-3i)', '5', '(6-5i)'] -> (((6-5i) * (5 - (2-2i))) - (4-3i))
[226144] ['(2-2i)', '(4-3i)', '5', '(6-i)'] -> ((5 * (6-i)) - ((2-2i) + (4-3i)))
[226149] ['(2-2i)', '(4-3i)', '5', '(7+9i)'] -> ((2-2i) * ((7+9i) + ((4-3i) - 5)))
[226156] ['(2-2i)', '(4-3i)', '(5+i)', '(5+2i)'] -> ((2-2i) * ((5+2i) - ((4-3i) - (5+i))))
[226182] ['(2-2i)', '(4-3i)', '(5+2i)', '(6+9i)'] -> (((2-2i) * (5+2i)) + ((4-3i) + (6+9i)))
[226201] ['(2-2i)', '(4-3i)', '(5+3i)', '(7-5i)'] -> (4 - (-4i * (9 - (9+5i))))
[226230] ['(2-2i)', '(4-3i)', '(5+4i)', '(6+3i)'] -> (((4-3i) * (5+4i)) - ((2-2i) + (6+3i)))
[226253] ['(2-2i)', '(4-3i)', '(5+5i)', '(7+i)'] -> ((2-2i) * ((5+5i) + ((7+i) / (4-3i))))
[226260] ['(2-2i)', '(4-3i)', '(5+5i)', '(8-3i)'] -> (((2-2i) * (5+5i)) - ((4-3i) - (8-3i)))
[226267] ['(2-2i)', '(4-3i)', '(5+5i)', '(9+7i)'] -> (((4-3i) * (5+5i)) - ((2-2i) + (9+7i)))
[226311] ['(2-2i)', '(4-3i)', '(5+8i)', '(6+3i)'] -> (((2-2i) * (5+8i)) + ((4-3i) - (6+3i)))
[226327] ['(2-2i)', '(4-3i)', '(5+9i)', '(6-6i)'] -> (((2-2i) * ((4-3i) + (5+9i))) - (6-6i))
[226335] ['(2-2i)', '(4-3i)', '(5+9i)', '(8+5i)'] -> (((2-2i) * (5+9i)) + ((4-3i) - (8+5i)))
[226346] ['(2-2i)', '(4-3i)', '(6-9i)', '8'] -> ((2-2i) * (8 + ((4-3i) - (6-9i))))
[226347] ['(2-2i)', '(4-3i)', '(6-9i)', '(8+5i)'] -> (((3-2i) * (7+3i)) + ((6+4i) - (9-i)))
[226360] ['(2-2i)', '(4-3i)', '(6-8i)', '(8+i)'] -> ((2-2i) * ((8+i) + ((4-3i) - (6-8i))))
[226364] ['(2-2i)', '(4-3i)', '(6-7i)', '(6-i)'] -> (((6-7i) * ((6-i) - (4-3i))) - (2-2i))
[226372] ['(2-2i)', '(4-3i)', '(6-7i)', '(8+2i)'] -> ((2-2i) * ((8+2i) + ((4-3i) - (6-7i))))
[226381] ['(2-2i)', '(4-3i)', '(6-6i)', '(6+2i)'] -> (((6-6i) * (6+2i)) / ((4-3i) - (2-2i)))
[226385] ['(2-2i)', '(4-3i)', '(6-6i)', '(8-3i)'] -> ((6-6i) * ((8-3i) - ((2-2i) + (4-3i))))
[226386] ['(2-2i)', '(4-3i)', '(6-6i)', '(8+3i)'] -> ((2-2i) * ((8+3i) + ((4-3i) - (6-6i))))
[226412] ['(2-2i)', '(4-3i)', '(6-4i)', '(8+5i)'] -> ((2-2i) * ((8+5i) + ((4-3i) - (6-4i))))
[226431] ['(2-2i)', '(4-3i)', '(6-3i)', '8'] -> (((6-3i) * 8) / ((4-3i) - (2-2i)))
[226432] ['(2-2i)', '(4-3i)', '(6-3i)', '(8+6i)'] -> ((2-2i) * ((8+6i) + ((4-3i) - (6-3i))))
[226446] ['(2-2i)', '(4-3i)', '(6-2i)', '(8-2i)'] -> (((6-2i) * ((8-2i) - (4-3i))) - (2-2i))
[226449] ['(2-2i)', '(4-3i)', '(6-2i)', '(8+7i)'] -> ((2-2i) * ((8+7i) + ((4-3i) - (6-2i))))
[226453] ['(2-2i)', '(4-3i)', '(6-i)', '6'] -> (((3-2i) * (6+3i)) - ((1-3i) - 1))
[226455] ['(2-2i)', '(4-3i)', '(6-i)', '(6+5i)'] -> (((1-6i) - (1-2i)) * (6 - (6-6i)))
[226456] ['(2-2i)', '(4-3i)', '(6-i)', '(6+7i)'] -> (((2-2i) * (6+7i)) + ((4-3i) - (6-i)))
[226466] ['(2-2i)', '(4-3i)', '(6-i)', '(8+8i)'] -> ((2-2i) * ((8+8i) + ((4-3i) - (6-i))))
[226473] ['(2-2i)', '(4-3i)', '6', '(6+6i)'] -> (6 * ((4-3i) + ((6+6i) / (2-2i))))
[226477] ['(2-2i)', '(4-3i)', '6', '(7+i)'] -> (((1-3i) * ((4+8i) - 1)) - (3-i))
[226482] ['(2-2i)', '(4-3i)', '6', '(8-4i)'] -> ((6 * (8-4i)) / ((4-3i) - (2-2i)))
[226486] ['(2-2i)', '(4-3i)', '6', '(8+9i)'] -> ((2-2i) * ((8+9i) + ((4-3i) - 6)))
[226501] ['(2-2i)', '(4-3i)', '(6+i)', '(9+8i)'] -> (((2-2i) * (9+8i)) - ((4-3i) + (6+i)))
[226503] ['(2-2i)', '(4-3i)', '(6+2i)', '(7-3i)'] -> (((2-2i) + (6+2i)) * ((7-3i) - (4-3i)))
[226517] ['(2-2i)', '(4-3i)', '(6+3i)', '(7-4i)'] -> (((4-3i) * (6+3i)) - ((2-2i) + (7-4i)))
[226519] ['(2-2i)', '(4-3i)', '(6+3i)', '(7+4i)'] -> (((2-2i) * (7+4i)) - ((4-3i) - (6+3i)))
[226520] ['(2-2i)', '(4-3i)', '(6+3i)', '(7+8i)'] -> (((4-3i) * ((6+3i) - (2-2i))) - (7+8i))
[226526] ['(2-2i)', '(4-3i)', '(6+4i)', '(6+8i)'] -> ((2-2i) * ((6+4i) + ((6+8i) / (4-3i))))
[226534] ['(2-2i)', '(4-3i)', '(6+4i)', '(8+i)'] -> (((2-2i) * (6+4i)) - ((4-3i) - (8+i)))
[226545] ['(2-2i)', '(4-3i)', '(6+5i)', '(8+9i)'] -> (((2-2i) * (8+9i)) - ((4-3i) + (6+5i)))
[226559] ['(2-2i)', '(4-3i)', '(6+6i)', '(8-7i)'] -> ((6+6i) * ((8-7i) - ((2-2i) + (4-3i))))
[226580] ['(2-2i)', '(4-3i)', '(6+7i)', '(8+3i)'] -> (((2-2i) * (8+3i)) - ((4-3i) - (6+7i)))
[226586] ['(2-2i)', '(4-3i)', '(6+8i)', '(6+8i)'] -> ((2-2i) * ((6+8i) - ((6+8i) / (4-3i))))
[226597] ['(2-2i)', '(4-3i)', '(6+8i)', '(8+i)'] -> (((2-2i) * (6+8i)) + ((4-3i) - (8+i)))
[226609] ['(2-2i)', '(4-3i)', '(6+9i)', '(8-8i)'] -> (((2-2i) * ((4-3i) + (6+9i))) - (8-8i))
[226626] ['(2-2i)', '(4-3i)', '(7-9i)', '9'] -> ((2-7i) - ((3-2i) * ((2-6i) - (6-i))))
[226644] ['(2-2i)', '(4-3i)', '(7-8i)', '(9+i)'] -> ((2-2i) * ((9+i) + ((4-3i) - (7-8i))))
[226651] ['(2-2i)', '(4-3i)', '(7-7i)', '(9+2i)'] -> ((2-2i) * ((9+2i) + ((4-3i) - (7-7i))))
[226669] ['(2-2i)', '(4-3i)', '(7-6i)', '(9+3i)'] -> ((2-2i) * ((9+3i) + ((4-3i) - (7-6i))))
[226682] ['(2-2i)', '(4-3i)', '(7-5i)', '(9+4i)'] -> ((2-2i) * ((9+4i) + ((4-3i) - (7-5i))))
[226690] ['(2-2i)', '(4-3i)', '(7-4i)', '(8+2i)'] -> (((8+2i) * ((7-4i) - (4-3i))) - (2-2i))
[226696] ['(2-2i)', '(4-3i)', '(7-4i)', '(9+5i)'] -> (((3-5i) * (4+3i)) + ((4+9i) - (7-2i)))
[226709] ['(2-2i)', '(4-3i)', '(7-3i)', '(9+6i)'] -> ((2-2i) * ((9+6i) + ((4-3i) - (7-3i))))
[226724] ['(2-2i)', '(4-3i)', '(7-2i)', '(9+7i)'] -> ((2-2i) * ((9+7i) + ((4-3i) - (7-2i))))
[226735] ['(2-2i)', '(4-3i)', '(7-i)', '(9+8i)'] -> ((2-2i) * ((9+8i) + ((4-3i) - (7-i))))
[226743] ['(2-2i)', '(4-3i)', '7', '(9+9i)'] -> ((2-2i) * ((9+9i) + ((4-3i) - 7)))
[226744] ['(2-2i)', '(4-3i)', '(7+i)', '(7+7i)'] -> ((2-2i) * ((7+7i) - ((7+i) / (4-3i))))
[226750] ['(2-2i)', '(4-3i)', '(7+i)', '(8+8i)'] -> ((8+8i) * ((2-2i) - ((4-3i) / (7+i))))
[226757] ['(2-2i)', '(4-3i)', '(7+2i)', '(8+i)'] -> (((4-3i) * ((7+2i) - (2-2i))) - (8+i))
[226767] ['(2-2i)', '(4-3i)', '(7+3i)', '(8+4i)'] -> (((4-3i) * (8+4i)) - ((2-2i) * (7+3i)))
[226768] ['(2-2i)', '(4-3i)', '(7+3i)', '(8+5i)'] -> (((2-2i) * (7+3i)) - ((4-3i) - (8+5i)))
[226797] ['(2-2i)', '(4-3i)', '(7+7i)', '(8-3i)'] -> (((2-2i) * (7+7i)) + ((4-3i) - (8-3i)))
[226826] ['(2-2i)', '(4-3i)', '(8-7i)', '(8+6i)'] -> (((2-2i) * (8+6i)) + ((4-3i) - (8-7i)))
[226832] ['(2-2i)', '(4-3i)', '(8-6i)', '(8+6i)'] -> ((2-2i) * ((8+6i) - ((8-6i) / (4-3i))))
[226840] ['(2-2i)', '(4-3i)', '(8-4i)', '8'] -> (((4-3i) * 8) - ((2-2i) * (8-4i)))
[226844] ['(2-2i)', '(4-3i)', '(8-4i)', '(9+5i)'] -> ((4+5i) - ((2-9i) * ((3+2i) - (4+4i))))
[226865] ['(2-2i)', '(4-3i)', '8', '(9-5i)'] -> (((4-3i) * ((2-6i) + (3+8i))) - (2-7i))
[226868] ['(2-2i)', '(4-3i)', '(8+i)', '(9-6i)'] -> (((4-3i) * ((8+i) - (2-2i))) - (9-6i))
[226870] ['(2-2i)', '(4-3i)', '(8+2i)', '(8+9i)'] -> (((2-2i) * (8+2i)) - ((4-3i) - (8+9i)))
[226876] ['(2-2i)', '(4-3i)', '(8+3i)', '(9+9i)'] -> (((2-2i) * (9+9i)) - ((4-3i) + (8+3i)))
[226909] ['(2-2i)', '(4-3i)', '(9-4i)', '(9+9i)'] -> (((2-2i) + (4-3i)) + ((9-4i) + (9+9i)))
[226910] ['(2-2i)', '(4-3i)', '(9-3i)', '(9+8i)'] -> (((2-2i) + (4-3i)) + ((9-3i) + (9+8i)))
[226913] ['(2-2i)', '(4-3i)', '(9-2i)', '(9+7i)'] -> (((2-2i) + (4-3i)) + ((9-2i) + (9+7i)))
[226916] ['(2-2i)', '(4-3i)', '(9-i)', '(9+6i)'] -> (((2-2i) + (4-3i)) + ((9-i) + (9+6i)))
[226917] ['(2-2i)', '(4-3i)', '9', '(9+5i)'] -> (((1-6i) - (1-2i)) * ((8+4i) - (8-2i)))
[226918] ['(2-2i)', '(4-3i)', '(9+i)', '(9+4i)'] -> (((2-2i) + (4-3i)) + ((9+i) + (9+4i)))
[226920] ['(2-2i)', '(4-3i)', '(9+2i)', '(9+3i)'] -> (4 * ((4+3i) + ((1-3i) + 1)))
[226934] ['(2-2i)', '(4-2i)', '(4-2i)', '(5+6i)'] -> ((2-2i) * ((5+6i) + ((4-2i) / (4-2i))))
[226941] ['(2-2i)', '(4-2i)', '(4-2i)', '(7+6i)'] -> ((2-2i) * ((7+6i) - ((4-2i) / (4-2i))))
[226943] ['(2-2i)', '(4-2i)', '(4-2i)', '(8+2i)'] -> (((4-2i) - (2-2i)) * ((4-2i) + (8+2i)))
[226947] ['(2-2i)', '(4-2i)', '(4-2i)', '(9+7i)'] -> (((2-2i) * (9+7i)) - ((4-2i) + (4-2i)))
[226949] ['(2-2i)', '(4-2i)', '(4-i)', '(4+2i)'] -> (((2-2i) + (4-2i)) + ((4-i) * (4+2i)))
[226950] ['(2-2i)', '(4-2i)', '(4-i)', '(4+4i)'] -> ((((5-5i) - (5+7i)) * (8+4i)) / (2-4i))
[226963] ['(2-2i)', '(4-2i)', '(4-i)', '(6+5i)'] -> ((2-2i) * ((6+5i) - ((4-2i) - (4-i))))
[226965] ['(2-2i)', '(4-2i)', '(4-i)', '(6+7i)'] -> ((2-2i) * ((6+7i) + ((4-2i) - (4-i))))
[226967] ['(2-2i)', '(4-2i)', '(4-i)', '(7+i)'] -> (((4-2i) * (7+i)) - ((2-2i) * (4-i)))
[226972] ['(2-2i)', '(4-2i)', '(4-i)', '(8+i)'] -> (((4-2i) - (2-2i)) * ((4-i) + (8+i)))
[226979] ['(2-2i)', '(4-2i)', '4', '4'] -> (4 * (4 - ((2-2i) - (4-2i))))
[226981] ['(2-2i)', '(4-2i)', '4', '(4+4i)'] -> ((4+4i) * ((4-2i) - (4 / (2-2i))))
[226982] ['(2-2i)', '(4-2i)', '4', '(4+8i)'] -> ((4+8i) * ((2-2i) - (4 / (4-2i))))
[226989] ['(2-2i)', '(4-2i)', '4', '(6+4i)'] -> ((2-2i) * ((6+4i) - ((4-2i) - 4)))
[226993] ['(2-2i)', '(4-2i)', '4', '(6+8i)'] -> ((2-2i) * ((6+8i) + ((4-2i) - 4)))
[226996] ['(2-2i)', '(4-2i)', '4', '(7-3i)'] -> ((4 * (7-3i)) - ((2-2i) * (4-2i)))
[227007] ['(2-2i)', '(4-2i)', '(4+i)', '(4+6i)'] -> (((2-2i) + (4+6i)) + ((4-2i) * (4+i)))
[227018] ['(2-2i)', '(4-2i)', '(4+i)', '(6+3i)'] -> ((2-2i) * ((6+3i) - ((4-2i) - (4+i))))
[227021] ['(2-2i)', '(4-2i)', '(4+i)', '(6+9i)'] -> ((2-2i) * ((6+9i) + ((4-2i) - (4+i))))
[227026] ['(2-2i)', '(4-2i)', '(4+i)', '(8-i)'] -> (((4-2i) - (2-2i)) * ((4+i) + (8-i)))
[227027] ['(2-2i)', '(4-2i)', '(4+i)', '(8+2i)'] -> (((1-6i) - (1-2i)) * ((9+5i) - (9-i)))
[227036] ['(2-2i)', '(4-2i)', '(4+2i)', '(4+4i)'] -> (((2-2i) * (4+4i)) + ((4-2i) + (4+2i)))
[227041] ['(2-2i)', '(4-2i)', '(4+2i)', '(5-2i)'] -> (((4-2i) + (4+2i)) * ((5-2i) - (2-2i)))
[227043] ['(2-2i)', '(4-2i)', '(4+2i)', '(5+7i)'] -> (((2-2i) * (5+7i)) + ((4-2i) - (4+2i)))
[227047] ['(2-2i)', '(4-2i)', '(4+2i)', '(6-2i)'] -> (((4-2i) * (4+2i)) - ((2-2i) - (6-2i)))
[227049] ['(2-2i)', '(4-2i)', '(4+2i)', '(6+2i)'] -> ((2-2i) * ((6+2i) - ((4-2i) - (4+2i))))
[227050] ['(2-2i)', '(4-2i)', '(4+2i)', '(6+3i)'] -> (((4-2i) * (6+3i)) - ((2-2i) + (4+2i)))
[227054] ['(2-2i)', '(4-2i)', '(4+2i)', '(7+5i)'] -> (((2-2i) * (7+5i)) - ((4-2i) - (4+2i)))
[227057] ['(2-2i)', '(4-2i)', '(4+2i)', '(8-8i)'] -> (((4-2i) * (4+2i)) + ((8-8i) / (2-2i)))
[227059] ['(2-2i)', '(4-2i)', '(4+2i)', '(8-4i)'] -> ((2-7i) - ((5-4i) * ((2-6i) - (4-3i))))
[227060] ['(2-2i)', '(4-2i)', '(4+2i)', '(8+6i)'] -> (((2-2i) * (4+2i)) + ((4-2i) + (8+6i)))
[227061] ['(2-2i)', '(4-2i)', '(4+2i)', '(8+8i)'] -> (((2-2i) * (8+8i)) - ((4-2i) + (4+2i)))
[227063] ['(2-2i)', '(4-2i)', '(4+2i)', '(9-5i)'] -> (((4+2i) * ((9-5i) - (4-2i))) - (2-2i))
[227072] ['(2-2i)', '(4-2i)', '(4+3i)', '(6+i)'] -> ((2-2i) * ((6+i) - ((4-2i) - (4+3i))))
[227073] ['(2-2i)', '(4-2i)', '(4+3i)', '(6+4i)'] -> (((2-2i) * (4+3i)) + ((4-2i) + (6+4i)))
[227084] ['(2-2i)', '(4-2i)', '(4+3i)', '(8-3i)'] -> (((4-2i) - (2-2i)) * ((4+3i) + (8-3i)))
[227093] ['(2-2i)', '(4-2i)', '(4+4i)', '(5-3i)'] -> ((4+4i) * ((5-3i) + ((2-2i) - (4-2i))))
[227094] ['(2-2i)', '(4-2i)', '(4+4i)', '(5+i)'] -> (((4-2i) * (5+i)) - ((2-2i) - (4+4i)))
[227095] ['(2-2i)', '(4-2i)', '(4+4i)', '(5+2i)'] -> (((4-2i) * (5+2i)) + ((4+4i) / (2-2i)))
[227097] ['(2-2i)', '(4-2i)', '(4+4i)', '(6-6i)'] -> (((4+4i) * (6-6i)) / ((4-2i) - (2-2i)))
[227098] ['(2-2i)', '(4-2i)', '(4+4i)', '(6-3i)'] -> (((2-2i) / (4-2i)) * ((4+4i) * (6-3i)))
